country_code,continent_code
ABW,NA
AFG,AS
AGO,AF
AIA,NA
ALA,EU
ALB,EU
AND,EU
ANT,NA
ARE,AS
ARG,SA
ARM,EU
ARM,AS
ARM,AF
ASM,OC
ATA,AN
ATF,AN
ATG,NA
AUS,OC
AUT,EU
AZE,EU
AZE,AS
BDI,AF
BEL,EU
BEN,AF
BES,NA
BFA,AF
BGD,AS
BGR,EU
BHR,AS
BHS,NA
BIH,EU
BLM,NA
BLR,EU
BLZ,NA
BMU,NA
BOL,SA
BRA,SA
BRB,NA
BRN,AS
BTN,AS
BVT,AN
BWA,AF
CAF,AF
CAN,NA
CCK,AS
CHE,EU
CHL,SA
CHN,AS
CIV,AF
CMR,AF
COD,AF
COG,AF
COK,OC
COL,SA
COM,AF
CPV,AF
CRI,NA
CUB,NA
CUW,NA
CXR,AS
CYM,NA
CYP,EU
CYP,AS
CZE,EU
DEU,EU
DJI,AF
DMA,NA
DNK,EU
DOM,NA
DZA,AF
ECU,SA
EGY,AF
ERI,AF
ESH,AF
ESP,EU
EST,EU
ETH,AF
FIN,EU
FJI,OC
FLK,SA
FRA,EU
FRO,EU
FSM,OC
GAB,AF
GBR,EU
GEO,EU
GEO,AS
GGY,EU
GHA,AF
GIB,EU
GIN,AF
GLP,NA
GMB,AF
GNB,AF
GNQ,AF
GRC,EU
GRD,NA
GRL,NA
GTM,NA
GUF,SA
GUM,OC
GUY,SA
HKG,AS
HMD,AN
HND,NA
HRV,EU
HTI,NA
HUN,EU
IDN,AS
IMN,EU
IND,AS
IOT,AS
IRL,EU
IRN,AS
IRQ,AS
ISL,EU
ISR,AS
ITA,EU
JAM,NA
JEY,EU
JOR,AS
JPN,AS
KAZ,EU
KAZ,AS
KEN,AF
KGZ,AS
KHM,AS
KIR,OC
KNA,NA
KOR,AS
KWT,AS
LAO,AS
LBN,AS
LBR,AF
LBY,AF
LCA,NA
LIE,EU
LKA,AS
LSO,AF
LTU,EU
LUX,EU
LVA,EU
MAC,AS
MAF,NA
MAR,AF
MCO,EU
MDA,EU
MDG,AF
MDV,AS
MEX,NA
MHL,OC
MKD,EU
MLI,AF
MLT,EU
MMR,AS
MNE,EU
MNG,AS
MNP,OC
MOZ,AF
MRT,AF
MSR,NA
MTQ,NA
MUS,AF
MWI,AF
MYS,AS
MYT,AF
NAM,AF
NCL,OC
NER,AF
NFK,OC
NGA,AF
NIC,NA
NIU,OC
NLD,EU
NOR,EU
NPL,AS
NRU,OC
,OC
,AS
,AS
,AS
NZL,OC
OMN,AS
PAK,AS
PAN,NA
PCN,OC
PER,SA
PHL,AS
PLW,OC
PNG,OC
POL,EU
PRI,NA
PRK,AS
PRT,EU
PRY,SA
PSE,AS
PYF,OC
QAT,AS
REU,AF
ROU,EU
RUS,EU
RUS,AS
RWA,AF
SAU,AS
SDN,AF
SEN,AF
SGP,AS
SGS,AN
SHN,AF
SJM,EU
SLB,OC
SLE,AF
SLV,NA
SMR,EU
SOM,AF
SPM,NA
SRB,EU
SSD,AF
STP,AF
SUR,SA
SVK,EU
SVN,EU
SWE,EU
SWZ,AF
SXM,NA
SYC,AF
SYR,AS
TCA,NA
TCD,AF
TGO,AF
THA,AS
TJK,AS
TKL,OC
TKM,AS
TLS,AS
TON,OC
TTO,NA
TUN,AF
TUR,EU
TUR,AS
TUV,OC
TWN,AS
TZA,AF
UGA,AF
UKR,EU
UMI,OC
UMI,NA
URY,SA
USA,NA
UZB,AS
VAT,EU
VCT,NA
VEN,SA
VGB,NA
VIR,NA
VNM,AS
VUT,OC
WLF,OC
WSM,OC
YEM,AS
ZAF,AF
ZMB,AF
ZWE,AF
